"id","year","product_name","company","country","industry_group","weight_kg","carbon_footprint_pcf","upstream_percent_total_pcf","operations_percent_total_pcf","downstream_percent_total_pcf"
"10667-3-2016","2016","ABS(Acrylonitrile Butadiene Styrene)","LG Chem Ltd","South Korea","Materials","1000.0","396.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10667-4-2016","2016","BPA(Bisphenol-A)","LG Chem Ltd","South Korea","Materials","1000.0","1088.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10667-5-2016","2016","IT&New Application Battery","LG Chem Ltd","South Korea","Materials","1000.0","10607.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"10670-1-2013","2013","LG-E970","LG Electronics","South Korea","Consumer Durables & Apparel","0.1471","7.0","11.28%","0.01%","88.70%"
"10834-1-2015","2015","Mouse, M185","Logitech International SA","Switzerland","Technology Hardware & Equipment","0.136","4.32","4.63%","60.42%","34.95%"
"1085-1-2013","2013","White crystalline sugar","Associated British Foods","United Kingdom","Food, Beverage & Tobacco","1000.0","650.0","46.15%","53.85%","0.00%"
"1085-1-2014","2014","Sugar","Associated British Foods","United Kingdom","Food, Beverage & Tobacco","1000.0","650.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"1085-1-2016","2016","Sugar","Associated British Foods","United Kingdom","Food, Beverage & Tobacco","1000.0","650.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"11152-1-2013","2013","grinding media cast.","MAGOTTEAUX","Brazil","Materials","1500.0","1750.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"11632-1-2016","2016","IC chips of Smartphone","MediaTek","Taiwan","Semiconductors & Semiconductor Equipment","0.1","1.719","72.39%","27.61%","0.00%"
"1198-1-2013","2013","1 DVD Software Package","Autodesk, Inc.","USA","Software & Services","0.0907185","1.28","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"1198-1-2014","2014","DVD software","Autodesk, Inc.","USA","Software & Services","0.0907185","1.28","44.05%","11.15%","44.79%"
"1198-1-2015","2015","DVD software (1 DVD)","Autodesk, Inc.","USA","Software & Services","0.0907185","1.28","44.05%","11.15%","44.80%"
"1198-2-2013","2013","USB Software","Autodesk, Inc.","USA","Software & Services","0.0085","2.285","75.54%","2.22%","22.24%"
"1198-4-2015","2015","DVD software (2 DVDs)","Autodesk, Inc.","USA","Software & Services","0.181437","1.67","43.72%","17.13%","39.15%"
"12084-1-2016","2016","Filtro 26 WS","Miquel Y Costas","Spain","Materials","1.0","3.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12117-1-2013","2013","Dell Laptop","MITIE Group","United Kingdom","Commercial & Professional Services","2.32","320.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12117-2-2013","2013","Kimberley-Clark toilet tissue, 10,000 sheets","MITIE Group","United Kingdom","Commercial & Professional Services","4.2","20.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12134-1-2017","2017","Paraformaldehyde","Mitsubishi Gas Chemical Company, Inc.","Japan","Materials","500.0","200.0","56.50%","29.93%","13.57%"
"12134-2-2017","2017","Methacrylic acid","Mitsubishi Gas Chemical Company, Inc.","Japan","Materials","20.0","71.0","64.44%","34.13%","1.43%"
"12134-3-2017","2017","Hydrogen peroxide","Mitsubishi Gas Chemical Company, Inc.","Japan","Materials","20.0","4.0","65.22%","34.54%","0.24%"
"12134-4-2017","2017","Amines","Mitsubishi Gas Chemical Company, Inc.","Japan","Materials","9.0","8.0","63.68%","33.73%","2.60%"
"12134-5-2017","2017","Peroxides","Mitsubishi Gas Chemical Company, Inc.","Japan","Materials","25.0","42.0","63.82%","33.80%","2.38%"
"12134-6-2017","2017","Super-pure hydrogen peroxide","Mitsubishi Gas Chemical Company, Inc.","Japan","Materials","17736.0","6469.0","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12134-7-2017","2017","ELM","Mitsubishi Gas Chemical Company, Inc.","Japan","Materials","160.0","139.0","7.13%","3.77%","89.10%"
"12134-8-2017","2017","TCDE","Mitsubishi Gas Chemical Company, Inc.","Japan","Materials","12000.0","99075.0","64.95%","34.40%","0.66%"
"12289-1-2017","2017","Zinc Oxide","Mitsui Mining & Smelting Co., Ltd.","Japan","Capital Goods","20.0","5.6724","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
"12348-1-2013","2013","500ml Coors Light brewed in the UK (steal can) CO2e expressed in CO2e/ hl","Molson Coors Brewing Company","USA","Food, Beverage & Tobacco","100.0","31.37","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)","N/a (product with insufficient stage-level data)"
